anio,trimestre,mes,fecha,cba_adulto_equiv,inversa_engel,cbt_adulto_equiv,fuente
2000,3,9,2000-09-20,62.440000000000005,2.4199999999999995,151.1,INDEC historica
2000,4,10,2000-10-20,64.3,2.4099999999999997,154.95,INDEC historica
2000,4,11,2000-11-20,63.470000000000006,2.4299999999999997,154.23,INDEC historica
2000,4,12,2000-12-01,62.760000000000005,2.4499999999999997,153.75,INDEC historica
2001,1,1,2001-01-01,62.73000000000001,2.4499999999999997,153.69,INDEC historica
2001,1,2,2001-02-20,62.73000000000001,2.4499999999999997,153.69,INDEC historica
2001,1,3,2001-03-20,62.92,2.4399999999999995,153.52,INDEC historica
2001,2,4,2001-04-01,63.24,2.4399999999999995,154.3,INDEC historica
2001,2,5,2001-05-20,62.74,2.4399999999999995,153.1,INDEC historica
2001,2,6,2001-06-20,61.760000000000005,2.46,151.93,INDEC historica
2001,3,7,2001-07-20,61.59,2.46,151.51,INDEC historica
2001,3,8,2001-08-01,61.370000000000005,2.46,150.96,INDEC historica
2001,3,9,2001-09-20,61.02,2.46,150.10999999999999,INDEC historica
2001,4,10,2001-10-20,60.5,2.48,150.05,INDEC historica
2001,4,11,2001-11-20,60.75,2.4699999999999998,150.05,INDEC historica
2001,4,12,2001-12-01,60.46,2.4699999999999998,149.32,INDEC historica
2002,1,1,2002-01-01,62.410000000000004,2.4699999999999998,154.16,INDEC historica
2002,1,2,2002-02-20,65.82,2.4499999999999997,161.26,INDEC historica
2002,1,3,2002-03-20,69.83,2.4299999999999997,169.7,INDEC historica
2002,2,4,2002-04-01,81.76,2.3699999999999997,193.76999999999998,INDEC historica
2002,2,5,2002-05-20,86.2,2.3499999999999996,202.57,INDEC historica
2002,2,6,2002-06-20,90.66999999999999,2.3199999999999994,210.36,INDEC historica
2002,3,7,2002-07-20,94.93,2.3,218.34,INDEC historica
2002,3,8,2002-08-01,100.94000000000001,2.25,227.1,INDEC historica
2002,3,9,2002-09-20,104.86999999999999,2.21,231.76999999999998,INDEC historica
2002,4,10,2002-10-20,103.74,2.22,230.31,INDEC historica
2002,4,11,2002-11-20,105.08,2.21,232.23,INDEC historica
2002,4,12,2002-12-01,105.72,2.2,232.59,INDEC historica
2003,1,1,2003-01-01,106.92,2.2,235.22,INDEC historica
2003,1,2,2003-02-20,107.56,2.19,235.56,INDEC historica
2003,1,3,2003-03-20,107.83,2.17,233.99,INDEC historica
2003,2,4,2003-04-01,106.55,2.18,232.28,INDEC historica
2003,2,5,2003-05-20,104.6,2.19,229.07,INDEC historica
2003,2,6,2003-06-20,103.13,2.21,227.92,INDEC historica
2003,3,7,2003-07-20,102.31,2.22,227.13,INDEC historica
2003,3,8,2003-08-01,102.08,2.21,225.6,INDEC historica
2003,3,9,2003-09-20,101.99,2.2,224.38000000000002,INDEC historica
2003,4,10,2003-10-20,104.11999999999999,2.19,228.02,INDEC historica
2003,4,11,2003-11-20,105.24,2.18,229.42,INDEC historica
2003,4,12,2003-12-01,105.76000000000002,2.19,231.60999999999999,INDEC historica
2004,1,1,2004-01-01,105.81,2.19,231.72,INDEC historica
2004,1,2,2004-02-20,106.16999999999999,2.19,232.51,INDEC historica
2004,1,3,2004-03-20,106.02,2.19,232.18,INDEC historica
2004,2,4,2004-04-01,106.52,2.19,233.29,INDEC historica
2004,2,5,2004-05-20,106.66,2.19,233.58,INDEC historica
