anio,trimestre,meses_indec,cba_indec_adulto_equiv,cbt_indec_adulto_equiv,fuente_indec
2000,3,1,62.440000000000005,151.1,INDEC historica
2000,4,3,63.510000000000005,154.31,INDEC historica
2001,1,3,62.793333333333344,153.63333333333333,INDEC historica
2001,2,3,62.580000000000005,153.11,INDEC historica
2001,3,3,61.32666666666667,150.85999999999999,INDEC historica
2001,4,3,60.57,149.80666666666667,INDEC historica
2002,1,3,66.02,161.70666666666665,INDEC historica
2002,2,3,86.21,202.23333333333332,INDEC historica
2002,3,3,100.24666666666667,225.73666666666665,INDEC historica
2002,4,3,104.84666666666666,231.71,INDEC historica
2003,1,3,107.43666666666667,234.92333333333335,INDEC historica
2003,2,3,104.75999999999999,229.75666666666666,INDEC historica
2003,3,3,102.12666666666667,225.70333333333335,INDEC historica
2003,4,3,105.04,229.68333333333334,INDEC historica
2004,1,3,106,232.13666666666666,INDEC historica
2004,2,3,106.68666666666667,233.65,INDEC historica
2004,3,3,107.52666666666669,236.19,INDEC historica
2004,4,3,108.23666666666666,238.48333333333332,INDEC historica
2005,1,3,111.58,245.81,INDEC historica
2005,2,3,114.23666666666668,250.56,INDEC historica
2005,3,3,117.80666666666667,256.78666666666663,INDEC historica
2005,4,3,123.34,266.4,INDEC historica
2006,1,3,127.48,275.34666666666664,INDEC historica
2006,2,3,127.22666666666666,276.92,INDEC historica
2006,3,3,126.60666666666667,278.53666666666663,INDEC historica
2006,4,3,130.84,285.6366666666666,INDEC historica
2007,1,3,138.26666666666665,296.8133333333333,INDEC historica
2007,2,3,138.72,297.7966666666666,INDEC historica
2007,3,3,142.34666666666666,305.09,INDEC historica
2007,4,3,143.57333333333332,309.15999999999997,INDEC historica
2008,1,3,145.71333333333334,315.03999999999996,INDEC historica
2008,2,3,146.94,318.43,INDEC historica
2008,3,3,142.66,313.99666666666667,INDEC historica
2008,4,3,143.46333333333334,316.25,INDEC historica
2009,1,3,143.32333333333332,321.03666666666663,INDEC historica
2009,2,3,143.86333333333334,324.7033333333333,INDEC historica
2009,3,3,146.57,331.3833333333333,INDEC historica
2009,4,3,152.7,342.9433333333333,INDEC historica
2010,1,3,165.70000000000002,364.07,INDEC historica
2010,2,3,172.67333333333332,374.28999999999996,INDEC historica
2010,3,3,176.49,383.9133333333333,INDEC historica
2010,4,3,186.02666666666667,402.1766666666667,INDEC historica
2011,1,3,188.34333333333333,412.12999999999994,INDEC historica
2011,2,3,192.02,422.5466666666667,INDEC historica
2011,3,3,197.36333333333332,435.97999999999996,INDEC historica
2011,4,3,203.23333333333335,449.09,INDEC historica
2012,1,3,210.24333333333334,466.09666666666664,INDEC historica
2012,2,3,218.37333333333333,482.57666666666665,INDEC historica
2012,3,3,226,502.67333333333335,INDEC historica
2012,4,3,231.77333333333334,517.9266666666666,INDEC historica
2013,1,3,233.74333333333334,531.2266666666666,INDEC historica
2013,2,3,235.35333333333332,538.0066666666667,INDEC historica
2013,3,3,241.73000000000002,552.9566666666666,INDEC historica
2013,4,3,249.86333333333334,568.3133333333333,INDEC historica
2016,2,3,1563.3999999999999,3812.366666666667,INDEC serie reciente
2016,3,3,1684.25,4055.15,INDEC serie reciente
2016,4,3,1756.2033333333334,4232.45,INDEC serie reciente
2017,1,3,1828.91,4432.323333333334,INDEC serie reciente
2017,2,3,1936.3766666666668,4744.123333333333,INDEC serie reciente
2017,3,3,2018.67,4932.17,INDEC serie reciente
2017,4,3,2118.4533333333334,5219.2,INDEC serie reciente
2018,1,3,2251.016666666667,5650.376666666666,INDEC serie reciente
2018,2,3,2421.403333333333,6115.793333333333,INDEC serie reciente
2018,3,3,2753.576666666667,6856.653333333334,INDEC serie reciente
2018,4,3,3242.27,8084.25,INDEC serie reciente
2019,1,3,3595.936666666667,8928.186666666666,INDEC serie reciente
2019,2,3,3920.3166666666666,9814.443333333333,INDEC serie reciente
2019,3,3,4309.17,10758.62,INDEC serie reciente
2019,4,3,4841.983333333334,12103.99,INDEC serie reciente
2020,1,3,5460.4,13285.603333333334,INDEC serie reciente
2020,2,3,5803.82,13968.183333333332,INDEC serie reciente
2020,3,3,6099.716666666666,14802.036666666667,INDEC serie reciente
2020,4,3,7008.0199999999995,16817.123333333333,INDEC serie reciente
2021,1,3,7980.8533333333335,18913.7,INDEC serie reciente
2021,2,3,8901.203333333333,20915.953333333335,INDEC serie reciente
2021,3,3,9517.793333333333,22272.723333333335,INDEC serie reciente
2021,4,3,10314.283333333335,23994.52333333333,INDEC serie reciente
2022,1,3,12039.933333333334,27197.64,INDEC serie reciente
2022,2,3,14406.786666666667,32271.2,INDEC serie reciente
2022,3,3,17172.306666666667,38756.05333333333,INDEC serie reciente
2022,4,3,20852.776666666665,47270.863333333335,INDEC serie reciente
2023,1,3,25916.493333333332,57371.04666666667,INDEC serie reciente
2023,2,3,32085.046666666665,70518.15666666666,INDEC serie reciente
2023,3,3,42083.39666666667,92024.92,INDEC serie reciente
2023,4,3,63250.456666666665,132853.3,INDEC serie reciente
2024,1,3,104256.87,222341.94666666666,INDEC serie reciente
2024,2,3,124416.52333333333,275369.7766666667,INDEC serie reciente
2024,3,3,135479.06,302605.62333333335,INDEC serie reciente
2024,4,3,142737.08666666667,324971.70999999996,INDEC serie reciente
2025,1,3,152870.28333333335,344326.43333333335,INDEC serie reciente
2025,2,3,162737.88,361282.10333333333,INDEC serie reciente
2025,3,3,168680.73333333334,376158.0366666667,INDEC serie reciente
2025,4,3,183406.61333333334,407749.85,INDEC serie reciente
2026,1,3,207776.66333333333,452258.31333333335,INDEC serie reciente
