anio,trimestre,periodo,bloque,cba_indec_adulto_equiv,cbt_indec_adulto_equiv,cbt_cifra_adulto_equiv,cbt_final_adulto_equiv,fuente_cbt,bloque_confiabilidad,ipc_cifra_trimestral,cbt_base_2007_t1,ipc_base_2007_t1,meses_indec,meses_cifra,trimestre_completo_indec,trimestre_completo_cifra,trimestre_completo_fuente_usada,cbt_final_disponible,fuente_indec,fuente_ipc
2007,1,2007_t1,2007-2011,138.26666666666665,296.8133333333333,296.8133333333333,296.8133333333333,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,22.28563736167482,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
2007,2,2007_t2,2007-2011,138.72,297.7966666666666,312.5731104648175,312.5731104648175,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,23.468928806532666,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
2007,4,2007_t4,2007-2011,143.57333333333332,309.15999999999997,359.50220028753597,359.50220028753597,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,26.992505950986764,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
2008,1,2008_t1,2007-2011,145.71333333333334,315.03999999999996,377.44488207625756,377.44488207625756,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,28.33969643986656,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
2008,2,2008_t2,2007-2011,146.94,318.43,410.8115837275616,410.8115837275616,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,30.84496870848486,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
2008,3,2008_t3,2007-2011,142.66,313.99666666666667,430.28174445678786,430.28174445678786,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,32.306846908200924,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
2008,4,2008_t4,2007-2011,143.46333333333334,316.25,442.6322897252763,442.6322897252763,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,33.23416297578262,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
2010,1,2010_t1,2007-2011,165.70000000000002,364.07,539.3073572042321,539.3073572042321,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,40.49281767149974,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
2010,2,2010_t2,2007-2011,172.67333333333332,374.28999999999996,573.5514200915464,573.5514200915464,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,43.06396485928469,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
2010,3,2010_t3,2007-2011,176.49,383.9133333333333,596.2816522226769,596.2816522226769,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,44.77061902044455,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
2010,4,2010_t4,2007-2011,186.02666666666667,402.1766666666667,632.1247804605209,632.1247804605209,CBT reconstruida con IPC-CIFRA,Primer bloque exploratorio,47.46182884193707,296.8133333333333,22.28563736167482,3,3,1,1,1,1,INDEC historica,IPC-CIFRA Provincias
