anio,trimestre,periodo,hogares,hogares_con_diferencia_miembros,hogares_con_adulto_equiv_valido,hogares_con_adulto_equiv_invalido,hogares_sin_jefe,hogares_con_mas_de_un_jefe,adulto_equiv_media,adulto_equiv_mediana
2007,1,2007_t1,2862,0,2862,0,0,0,2.5304053109713487,2.37
2007,2,2007_t2,2752,0,2752,0,0,0,2.4650072674418606,2.3
2007,4,2007_t4,2653,0,2653,0,0,0,2.56869204673954,2.42
2008,1,2008_t1,2771,0,2771,0,0,0,2.6009707686755683,2.4699999999999998
2008,2,2008_t2,2802,0,2802,0,0,0,2.519075660242684,2.35
2008,3,2008_t3,2752,0,2752,0,0,0,2.524186046511628,2.36
2008,4,2008_t4,2752,0,2752,0,0,0,2.5384265988372094,2.41
2010,1,2010_t1,2544,0,2544,0,0,0,2.4913522012578615,2.3
2010,2,2010_t2,2600,0,2600,0,0,0,2.4880115384615387,2.31
2010,3,2010_t3,2703,0,2703,0,0,0,2.4747798742138367,2.35
2010,4,2010_t4,2694,0,2694,0,0,0,2.4164179658500373,2.2800000000000002
2011,1,2011_t1,2653,0,2653,0,0,0,2.411944967960799,2.26
2011,2,2011_t2,2734,0,2734,0,0,0,2.406349670811997,2.23
2011,3,2011_t3,2646,0,2646,0,0,0,2.4395427059712773,2.2649999999999997
2011,4,2011_t4,2684,0,2684,0,0,0,2.3885618479880777,2.22
2018,1,2018_t1,3429,0,3429,0,0,0,2.4366812481773112,2.27
2018,2,2018_t2,3472,0,3472,0,0,0,2.4374222350230417,2.27
2018,3,2018_t3,3417,0,3417,0,0,0,2.4239625402399767,2.29
2018,4,2018_t4,3468,0,3468,0,0,0,2.405787197231834,2.2800000000000002
2019,1,2019_t1,3469,0,3469,0,0,0,2.3945921014701645,2.27
2019,2,2019_t2,3407,0,3407,0,0,0,2.3660052832403875,2.23
2019,3,2019_t3,3387,0,3387,0,0,0,2.3954059639799232,2.27
2019,4,2019_t4,3355,0,3355,0,0,0,2.3912488822652755,2.24
2021,1,2021_t1,1474,0,1474,0,0,0,2.23483039348711,1.81
2021,2,2021_t2,1407,0,1407,0,0,0,2.2487348969438523,1.83
2021,3,2021_t3,1733,0,1733,0,0,0,2.2514425851125215,1.83
2021,4,2021_t4,2373,0,2373,0,0,0,2.2419342604298356,1.79
2022,1,2022_t1,2392,0,2392,0,0,0,2.2610785953177257,2
2022,2,2022_t2,2731,0,2731,0,0,0,2.2138191138777006,1.78
2022,3,2022_t3,2742,0,2742,0,0,0,2.1666156090444932,1.78
2022,4,2022_t4,2640,0,2640,0,0,0,2.217852272727273,1.925
