anio,trimestre,periodo,fecha_trimestre,hogares,hogares_unicos,hogares_ponderados_ingreso,hogares_ponderados_original,hogares_sin_ponderador_ingreso,hogares_sin_itf,hogares_sin_respuesta_ingresos,hogares_ingreso_cero,itf_mediana
2007,1,2007_t1,2007-01-01,2862,2862,3954206,3954206,0,0,0,24,1600
2007,2,2007_t2,2007-04-01,2752,2752,4029360,4029360,0,0,0,15,1600
2007,4,2007_t4,2007-10-01,2653,2653,3931539,3931539,0,0,0,38,1816
2008,1,2008_t1,2008-01-01,2771,2771,3935026,3935026,0,0,0,24,2000
2008,2,2008_t2,2008-04-01,2802,2802,3968182,3968182,0,0,0,27,2067.5
2008,3,2008_t3,2008-07-01,2752,2752,4023705,4023705,0,0,0,27,2360
2008,4,2008_t4,2008-10-01,2752,2752,4022766,4022766,0,0,0,17,2382
2010,1,2010_t1,2010-01-01,2544,2544,4108583,4108583,0,0,0,27,3200
2010,2,2010_t2,2010-04-01,2600,2600,4097124,4097124,0,0,0,25,3000
2010,3,2010_t3,2010-07-01,2703,2703,4137221,4137221,0,0,0,19,3642
2010,4,2010_t4,2010-10-01,2694,2694,4172308,4172308,0,0,0,18,3700
2011,1,2011_t1,2011-01-01,2653,2653,4184638,4184638,0,0,0,18,4000
2011,2,2011_t2,2011-04-01,2734,2734,4239298,4239298,0,0,0,25,4200
2011,3,2011_t3,2011-07-01,2646,2646,4181346,4181346,0,0,0,20,4900
2011,4,2011_t4,2011-10-01,2684,2684,4266200,4266200,0,0,0,21,4600
2018,1,2018_t1,2018-01-01,3429,3429,4925086,4925099,0,0,1146,22,13900
2018,2,2018_t2,2018-04-01,3472,3472,4953166,4953159,0,0,1097,32,14200
2018,3,2018_t3,2018-07-01,3417,3417,4988218,4988202,0,0,1092,34,15400
2018,4,2018_t4,2018-10-01,3468,3468,5003198,5003209,0,0,1079,23,16090
2019,1,2019_t1,2019-01-01,3469,3469,5102391,5102454,0,0,1105,25,18300
2019,2,2019_t2,2019-04-01,3407,3407,5175102,5175130,0,0,1007,28,20000
2019,3,2019_t3,2019-07-01,3387,3387,5137267,5137277,0,0,991,29,22300
2019,4,2019_t4,2019-10-01,3355,3355,5166507,5166525,0,0,1074,30,23000
2021,1,2021_t1,2021-01-01,1474,1474,5025168,5025160,0,0,500,16,33000
2021,2,2021_t2,2021-04-01,1407,1407,4874140,4874141,0,0,471,15,36035
2021,3,2021_t3,2021-07-01,1733,1733,4975444,4975436,0,0,628,17,40500
2021,4,2021_t4,2021-10-01,2373,2373,5112767,5112759,0,0,880,15,40000
2022,1,2022_t1,2022-01-01,2392,2392,5127427,5127451,0,0,916,37,40000
2022,2,2022_t2,2022-04-01,2731,2731,5277731,5273401,0,0,1042,22,50000
2022,3,2022_t3,2022-07-01,2742,2742,5337142,5337149,0,0,1022,14,58250
2022,4,2022_t4,2022-10-01,2640,2640,5320794,5320798,0,0,1009,22,70000
