anio,trimestre,periodo,fecha_trimestre,personas,personas_ponderadas,hogares_unicos,jefes_hogar,ocupados,desocupados,inactivos,menores_10,edad_minima,edad_maxima
2007,1,2007_t1,2007-01-01,9066,12712264,2862,2862,3967,479,3240,1362,-1,98
2007,2,2007_t2,2007-04-01,8498,12736592,2752,2752,3829,364,3006,1292,-1,98
2007,4,2007_t4,2007-10-01,8515,12786881,2653,2653,3737,311,3150,1298,-1,98
2008,1,2008_t1,2008-01-01,8965,12812025,2771,2771,3917,390,3356,1288,-1,98
2008,2,2008_t2,2008-04-01,8820,12836343,2802,2802,3884,357,3315,1258,-1,96
2008,3,2008_t3,2008-07-01,8678,12861511,2752,2752,3756,352,3269,1295,-1,98
2008,4,2008_t4,2008-10-01,8731,12886720,2752,2752,3873,333,3173,1329,-1,97
2010,1,2010_t1,2010-01-01,7948,13010756,2544,2544,3459,314,2956,1213,-1,98
2010,2,2010_t2,2010-04-01,8098,13034624,2600,2600,3557,321,3055,1162,-1,98
2010,3,2010_t3,2010-07-01,8360,13059409,2703,2703,3759,337,3078,1178,-1,98
2010,4,2010_t4,2010-10-01,8145,13084083,2694,2694,3638,315,3069,1120,-1,98
2011,1,2011_t1,2011-01-01,8026,13108614,2653,2653,3549,297,3018,1154,-1,98
2011,2,2011_t2,2011-04-01,8250,13132349,2734,2734,3699,317,2992,1228,-1,98
2011,3,2011_t3,2011-07-01,8079,13156989,2646,2646,3663,302,2897,1196,-1,98
2011,4,2011_t4,2011-10-01,8027,13181502,2684,2684,3568,292,3006,1155,-1,98
2018,1,2018_t1,2018-01-01,10456,14988276,3429,3429,4514,538,3852,1529,-1,100
2018,2,2018_t2,2018-04-01,10587,15028359,3472,3472,4528,575,3890,1556,-1,101
2018,3,2018_t3,2018-07-01,10324,15070879,3417,3417,4452,528,3828,1492,-1,99
2018,4,2018_t4,2018-10-01,10438,15113884,3468,3468,4481,506,3918,1516,-1,99
2019,1,2019_t1,2019-01-01,10352,15203425,3469,3469,4424,590,3894,1418,-1,101
2019,2,2019_t2,2019-04-01,10033,15242628,3407,3407,4383,592,3675,1352,-1,102
2019,3,2019_t3,2019-07-01,10097,15282108,3387,3387,4347,541,3738,1439,-1,98
2019,4,2019_t4,2019-10-01,9957,15320794,3355,3355,4376,496,3710,1349,-1,99
2021,1,2021_t1,2021-01-01,4082,15511519,1474,1474,1737,213,1682,427,-1,101
2021,2,2021_t2,2021-04-01,3914,15548371,1407,1407,1672,194,1609,405,-1,101
2021,3,2021_t3,2021-07-01,4826,15586136,1733,1733,2208,188,1867,535,-1,99
2021,4,2021_t4,2021-10-01,6600,15623684,2373,2373,3000,230,2578,764,-1,99
2022,1,2022_t1,2022-01-01,6706,15661287,2392,2392,2981,232,2695,770,-1,105
2022,2,2022_t2,2022-04-01,7463,15697537,2731,2731,3468,287,2850,828,-1,102
2022,3,2022_t3,2022-07-01,7344,15734781,2742,2742,3397,289,2852,790,-1,101
2022,4,2022_t4,2022-10-01,7259,15771721,2640,2640,3315,242,2791,878,-1,98
