anio,trimestre,periodo,fecha_trimestre,gba,hogares,hogares_ponderados_ingreso,hogares_sin_respuesta_ingresos,personas,personas_ponderadas
2007,1,2007_t1,2007-01-01,CABA,874,1155215,0,2276,2971979
2007,1,2007_t1,2007-01-01,Partidos del GBA,1988,2798991,0,6790,9740285
2007,2,2007_t2,2007-04-01,CABA,854,1188297,0,2097,2973498
2007,2,2007_t2,2007-04-01,Partidos del GBA,1898,2841063,0,6401,9763094
2007,4,2007_t4,2007-10-01,CABA,791,1151445,0,2014,2976636
2007,4,2007_t4,2007-10-01,Partidos del GBA,1862,2780094,0,6501,9810245
2008,1,2008_t1,2008-01-01,CABA,806,1148011,0,2094,2978205
2008,1,2008_t1,2008-01-01,Partidos del GBA,1965,2787015,0,6871,9833820
2008,2,2008_t2,2008-04-01,CABA,851,1159956,0,2156,2979672
2008,2,2008_t2,2008-04-01,Partidos del GBA,1951,2808226,0,6664,9856671
2008,3,2008_t3,2008-07-01,CABA,793,1194034,0,1941,2981217
2008,3,2008_t3,2008-07-01,Partidos del GBA,1959,2829671,0,6737,9880294
2008,4,2008_t4,2008-10-01,CABA,800,1172379,0,2004,2982805
2008,4,2008_t4,2008-10-01,Partidos del GBA,1952,2850387,0,6727,9903915
2010,1,2010_t1,2010-01-01,CABA,746,1178303,0,1815,2990525
2010,1,2010_t1,2010-01-01,Partidos del GBA,1798,2930280,0,6133,10020231
2010,2,2010_t2,2010-04-01,CABA,758,1157291,0,1863,2992000
2010,2,2010_t2,2010-04-01,Partidos del GBA,1842,2939833,0,6235,10042624
2010,3,2010_t3,2010-07-01,CABA,810,1178891,0,2022,2993535
2010,3,2010_t3,2010-07-01,Partidos del GBA,1893,2958330,0,6338,10065874
2010,4,2010_t4,2010-10-01,CABA,797,1171925,0,1991,2995050
2010,4,2010_t4,2010-10-01,Partidos del GBA,1897,3000383,0,6154,10089033
2011,1,2011_t1,2011-01-01,CABA,777,1181424,0,1925,2996533
2011,1,2011_t1,2011-01-01,Partidos del GBA,1876,3003214,0,6101,10112081
2011,2,2011_t2,2011-04-01,CABA,823,1239799,0,1947,2997973
2011,2,2011_t2,2011-04-01,Partidos del GBA,1911,2999499,0,6303,10134376
2011,3,2011_t3,2011-07-01,CABA,803,1225174,0,1941,2999541
2011,3,2011_t3,2011-07-01,Partidos del GBA,1843,2956172,0,6138,10157448
2011,4,2011_t4,2011-10-01,CABA,806,1241904,0,1902,3001040
2011,4,2011_t4,2011-10-01,Partidos del GBA,1878,3024296,0,6125,10180462
2018,1,2018_t1,2018-01-01,CABA,882,1258748,287,2099,2938859
2018,1,2018_t1,2018-01-01,Partidos del GBA,2547,3666338,859,8357,12049417
2018,2,2018_t2,2018-04-01,CABA,894,1239463,293,2195,2941681
2018,2,2018_t2,2018-04-01,Partidos del GBA,2578,3713703,804,8392,12086678
2018,3,2018_t3,2018-07-01,CABA,876,1221119,296,2176,2944678
2018,3,2018_t3,2018-07-01,Partidos del GBA,2541,3767099,796,8148,12126201
2018,4,2018_t4,2018-10-01,CABA,894,1263797,277,2150,2947807
2018,4,2018_t4,2018-10-01,Partidos del GBA,2574,3739401,802,8288,12166077
2019,1,2019_t1,2019-01-01,CABA,898,1302053,271,2151,2996491
2019,1,2019_t1,2019-01-01,Partidos del GBA,2571,3800338,834,8201,12206934
2019,2,2019_t2,2019-04-01,CABA,898,1260354,264,2209,2997271
2019,2,2019_t2,2019-04-01,Partidos del GBA,2509,3914748,743,7824,12245357
2019,3,2019_t3,2019-07-01,CABA,863,1262547,242,2128,2997776
2019,3,2019_t3,2019-07-01,Partidos del GBA,2524,3874720,749,7969,12284332
2019,4,2019_t4,2019-10-01,CABA,848,1282637,243,2039,2998474
2019,4,2019_t4,2019-10-01,Partidos del GBA,2507,3883870,831,7918,12322320
2021,1,2021_t1,2021-01-01,CABA,430,1226115,148,997,3001386
2021,1,2021_t1,2021-01-01,Partidos del GBA,1044,3799053,352,3085,12510133
2021,2,2021_t2,2021-04-01,CABA,386,1205543,143,883,3001892
2021,2,2021_t2,2021-04-01,Partidos del GBA,1021,3668597,328,3031,12546479
2021,3,2021_t3,2021-07-01,CABA,539,1215596,189,1227,3002328
2021,3,2021_t3,2021-07-01,Partidos del GBA,1194,3759848,439,3599,12583808
2021,4,2021_t4,2021-10-01,CABA,741,1182503,292,1723,3002735
2021,4,2021_t4,2021-10-01,Partidos del GBA,1632,3930264,588,4877,12620949
2022,1,2022_t1,2022-01-01,CABA,725,1233150,275,1684,3003204
2022,1,2022_t1,2022-01-01,Partidos del GBA,1667,3894277,641,5022,12658083
2022,2,2022_t2,2022-04-01,CABA,850,1241317,310,1887,3003559
2022,2,2022_t2,2022-04-01,Partidos del GBA,1881,4036414,732,5576,12693978
2022,3,2022_t3,2022-07-01,CABA,812,1272187,285,1735,3003897
2022,3,2022_t3,2022-07-01,Partidos del GBA,1930,4064955,737,5609,12730884
2022,4,2022_t4,2022-10-01,CABA,782,1264587,308,1778,3004202
2022,4,2022_t4,2022-10-01,Partidos del GBA,1858,4056207,701,5481,12767519
