anio,trimestre,periodo,gba,hogares,hogares_sin_adulto_equiv,hogares_adulto_equiv_invalido,hogares_sin_cbt_final,hogares_sin_respuesta_ingresos,hogares_ingreso_cero
2007,1,2007_t1,CABA,874,0,0,0,0,10
2007,1,2007_t1,Partidos del GBA,1988,0,0,0,0,14
2007,2,2007_t2,CABA,854,0,0,0,0,4
2007,2,2007_t2,Partidos del GBA,1898,0,0,0,0,11
2007,4,2007_t4,CABA,791,0,0,0,0,12
2007,4,2007_t4,Partidos del GBA,1862,0,0,0,0,26
2008,1,2008_t1,CABA,806,0,0,0,0,6
2008,1,2008_t1,Partidos del GBA,1965,0,0,0,0,18
2008,2,2008_t2,CABA,851,0,0,0,0,7
2008,2,2008_t2,Partidos del GBA,1951,0,0,0,0,20
2008,3,2008_t3,CABA,793,0,0,0,0,6
2008,3,2008_t3,Partidos del GBA,1959,0,0,0,0,21
2008,4,2008_t4,CABA,800,0,0,0,0,11
2008,4,2008_t4,Partidos del GBA,1952,0,0,0,0,6
2010,1,2010_t1,CABA,746,0,0,0,0,10
2010,1,2010_t1,Partidos del GBA,1798,0,0,0,0,17
2010,2,2010_t2,CABA,758,0,0,0,0,9
2010,2,2010_t2,Partidos del GBA,1842,0,0,0,0,16
2010,3,2010_t3,CABA,810,0,0,0,0,6
2010,3,2010_t3,Partidos del GBA,1893,0,0,0,0,13
2010,4,2010_t4,CABA,797,0,0,0,0,8
2010,4,2010_t4,Partidos del GBA,1897,0,0,0,0,10
2011,1,2011_t1,CABA,777,0,0,0,0,3
2011,1,2011_t1,Partidos del GBA,1876,0,0,0,0,15
2011,2,2011_t2,CABA,823,0,0,0,0,3
2011,2,2011_t2,Partidos del GBA,1911,0,0,0,0,22
2011,3,2011_t3,CABA,803,0,0,0,0,6
2011,3,2011_t3,Partidos del GBA,1843,0,0,0,0,14
2011,4,2011_t4,CABA,806,0,0,0,0,9
2011,4,2011_t4,Partidos del GBA,1878,0,0,0,0,12
2018,1,2018_t1,CABA,882,0,0,0,287,4
2018,1,2018_t1,Partidos del GBA,2547,0,0,0,859,18
2018,2,2018_t2,CABA,894,0,0,0,293,13
2018,2,2018_t2,Partidos del GBA,2578,0,0,0,804,19
2018,3,2018_t3,CABA,876,0,0,0,296,3
2018,3,2018_t3,Partidos del GBA,2541,0,0,0,796,31
2018,4,2018_t4,CABA,894,0,0,0,277,4
2018,4,2018_t4,Partidos del GBA,2574,0,0,0,802,19
2019,1,2019_t1,CABA,898,0,0,0,271,3
2019,1,2019_t1,Partidos del GBA,2571,0,0,0,834,22
2019,2,2019_t2,CABA,898,0,0,0,264,7
2019,2,2019_t2,Partidos del GBA,2509,0,0,0,743,21
2019,3,2019_t3,CABA,863,0,0,0,242,2
2019,3,2019_t3,Partidos del GBA,2524,0,0,0,749,27
2019,4,2019_t4,CABA,848,0,0,0,243,4
2019,4,2019_t4,Partidos del GBA,2507,0,0,0,831,26
2021,1,2021_t1,CABA,430,0,0,0,148,6
2021,1,2021_t1,Partidos del GBA,1044,0,0,0,352,10
2021,2,2021_t2,CABA,386,0,0,0,143,2
2021,2,2021_t2,Partidos del GBA,1021,0,0,0,328,13
2021,3,2021_t3,CABA,539,0,0,0,189,5
2021,3,2021_t3,Partidos del GBA,1194,0,0,0,439,12
2021,4,2021_t4,CABA,741,0,0,0,292,1
2021,4,2021_t4,Partidos del GBA,1632,0,0,0,588,14
2022,1,2022_t1,CABA,725,0,0,0,275,13
2022,1,2022_t1,Partidos del GBA,1667,0,0,0,641,24
2022,2,2022_t2,CABA,850,0,0,0,310,6
2022,2,2022_t2,Partidos del GBA,1881,0,0,0,732,16
2022,3,2022_t3,CABA,812,0,0,0,285,4
2022,3,2022_t3,Partidos del GBA,1930,0,0,0,737,10
2022,4,2022_t4,CABA,782,0,0,0,308,7
2022,4,2022_t4,Partidos del GBA,1858,0,0,0,701,15
