anio,jefe_ocupado_texto,hogares,hogares_pobres,tasa_pobreza_no_ponderada
2007,Jefe no ocupado,2475,386,0.15595959595959596
2007,Jefe ocupado,5442,687,0.12624035281146637
2008,Jefe no ocupado,3441,383,0.1113048532403371
2008,Jefe ocupado,7152,562,0.07857941834451902
2010,Jefe no ocupado,3437,233,0.06779167878964212
2010,Jefe ocupado,6650,302,0.04541353383458647
2011,Jefe no ocupado,3384,179,0.05289598108747045
2011,Jefe ocupado,6838,216,0.031588183679438435
2018,Jefe no ocupado,3360,758,0.2255952380952381
2018,Jefe ocupado,5624,1189,0.21141536273115222
2019,Jefe no ocupado,3339,922,0.27613057801737045
2019,Jefe ocupado,5808,1437,0.24741735537190082
2021,Jefe no ocupado,1661,427,0.25707405177603854
2021,Jefe ocupado,2763,643,0.2327180600796236
2022,Jefe no ocupado,2325,590,0.2537634408602151
2022,Jefe ocupado,4054,1015,0.2503700049333991
