anio,trimestre,periodo,hogares_totales,hogares_entran_medicion,hogares_fuera_medicion,hogares_sin_respuesta_ingresos,hogares_adulto_equiv_invalido
2007,1,2007_t1,2862,2736,126,0,126
2007,2,2007_t2,2752,2625,127,0,127
2007,4,2007_t4,2653,2556,97,0,97
2008,1,2008_t1,2771,2669,102,0,102
2008,2,2008_t2,2802,2681,121,0,121
2008,3,2008_t3,2752,2624,128,0,128
2008,4,2008_t4,2752,2619,133,0,133
2010,1,2010_t1,2544,2436,108,0,108
2010,2,2010_t2,2600,2482,118,0,118
2010,3,2010_t3,2703,2589,114,0,114
2010,4,2010_t4,2694,2580,114,0,114
2011,1,2011_t1,2653,2523,130,0,130
2011,2,2011_t2,2734,2599,135,0,135
2011,3,2011_t3,2646,2531,115,0,115
2011,4,2011_t4,2684,2569,115,0,115
2018,1,2018_t1,3429,2195,1234,1146,138
2018,2,2018_t2,3472,2278,1194,1097,141
2018,3,2018_t3,3417,2229,1188,1092,133
2018,4,2018_t4,3468,2282,1186,1079,144
2019,1,2019_t1,3469,2291,1178,1105,102
2019,2,2019_t2,3407,2318,1089,1007,119
2019,3,2019_t3,3387,2319,1068,991,96
2019,4,2019_t4,3355,2219,1136,1074,87
2021,1,2021_t1,1474,953,521,500,31
2021,2,2021_t2,1407,918,489,471,27
2021,3,2021_t3,1733,1086,647,628,28
2021,4,2021_t4,2373,1467,906,880,51
2022,1,2022_t1,2392,1445,947,916,56
2022,2,2022_t2,2731,1650,1081,1042,62
2022,3,2022_t3,2742,1688,1054,1022,55
2022,4,2022_t4,2640,1596,1044,1009,46
