anio,gba,hogares,hogares_pobres,hogares_no_pobres,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada
2007,CABA,2456,153,2303,0.06229641693811075,0.06809480307222916
2007,Partidos del GBA,5461,920,4541,0.1684673136788134,0.17816791337293594
2008,CABA,3156,118,3038,0.037389100126742715,0.039628299862543626
2008,Partidos del GBA,7437,827,6610,0.11120075299179777,0.11755762446906798
2010,CABA,3035,72,2963,0.02372322899505766,0.029567503285973587
2010,Partidos del GBA,7052,463,6589,0.065655133295519,0.06754465459635105
2011,CABA,3115,50,3065,0.016051364365971106,0.01770824012555962
2011,Partidos del GBA,7107,345,6762,0.04854368932038835,0.05310552325558263
2018,CABA,2330,198,2132,0.08497854077253218,0.07055309132955032
2018,Partidos del GBA,6654,1749,4905,0.2628494138863841,0.24980674421251253
2019,CABA,2439,230,2209,0.0943009430094301,0.08347508945472333
2019,Partidos del GBA,6708,2129,4579,0.3173822301729278,0.30017361268247517
2021,CABA,1313,128,1185,0.09748667174409749,0.10440470386201847
2021,Partidos del GBA,3111,942,2169,0.30279652844744454,0.3447583346883995
2022,CABA,1962,206,1756,0.10499490316004077,0.11584206914818007
2022,Partidos del GBA,4417,1399,3018,0.3167308127688476,0.3391465145173044
