anio,trimestre,periodo,hogares,hogares_pobres,hogares_no_pobres,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,itf_mediana,linea_pobreza_mediana,ratio_itf_cbt_mediana
2007,1,2007_t1,2736,400,2336,0.14619883040935672,0.15564036342750556,1600,688.6069333333332,2.6194575439950554
2007,2,2007_t2,2625,327,2298,0.12457142857142857,0.14064144571972734,1600,678.9764,2.6962011261460184
2007,4,2007_t4,2556,346,2210,0.13536776212832552,0.1397123961438607,1800,728.0717999999999,2.800494455301028
2008,1,2008_t1,2669,296,2373,0.11090295991007867,0.11577602186855435,2000,768.6975999999999,3.0230477157851463
2008,2,2008_t2,2681,224,2457,0.0835509138381201,0.09454415492445051,2090,729.2047,3.1181352304068075
2008,3,2008_t3,2624,237,2387,0.09032012195121951,0.09384011907952965,2380,728.4722666666668,3.5389618431901257
2008,4,2008_t4,2619,188,2431,0.07178312332951509,0.07397253542075428,2355,749.5125,3.468921465619319
2010,1,2010_t1,2436,131,2305,0.05377668308702791,0.054729729901175805,3200,826.4389,4.1012543102052295
2010,2,2010_t2,2482,162,2320,0.0652699435938759,0.06700906714223047,3000,849.6383,3.8631296105996284
2010,3,2010_t3,2589,126,2463,0.04866743916570104,0.05174455454258967,3700,875.3224,4.438595189294794
2010,4,2010_t4,2580,116,2464,0.04496124031007752,0.053019706288439813,3640,896.8539666666667,4.448832783818665
2011,1,2011_t1,2523,101,2422,0.04003170828378914,0.04399008032391274,4000,910.8072999999998,4.887750198259368
2011,2,2011_t2,2599,118,2481,0.04540207772220085,0.04961874631802438,4200,921.1517333333335,4.898010199287707
2011,3,2011_t3,2531,89,2442,0.03516396681153694,0.03993993068114908,4850,972.2353999999999,5.364259088534692
2011,4,2011_t4,2569,87,2482,0.03386531724406384,0.03729497504300347,4552,965.5434999999999,5.032147243647638
2018,1,2018_t1,2195,411,1784,0.18724373576309794,0.17661307440699875,23000,10340.1893,2.1873852472014113
2018,2,2018_t2,2278,500,1778,0.21949078138718173,0.20254017472281188,21000,11191.9018,1.8335441392992398
2018,3,2018_t3,2229,455,1774,0.2041274113952445,0.19252922129815217,25000,13713.306666666667,1.983474931404825
2018,4,2018_t4,2282,581,1701,0.254601226993865,0.24500966168245214,24200,16168.5,1.6071621646939427
2019,1,2019_t1,2291,537,1754,0.2343954604975993,0.22467153691746827,30000,16338.5816,1.848264466358585
2019,2,2019_t2,2318,608,1710,0.26229508196721313,0.24612090205121126,30000,17469.709133333334,1.6173118875836265
2019,3,2019_t3,2319,581,1738,0.25053902544200085,0.2349844329048918,35000,19580.688400000003,1.7822026707826004
2019,4,2019_t4,2219,633,1586,0.28526363226678686,0.27668512187982497,35500,21545.1022,1.622841488042963
2021,1,2021_t1,953,244,709,0.25603357817418676,0.3091729172810198,59000,33288.112,1.7729441691333017
2021,2,2021_t2,918,245,673,0.2668845315904139,0.29531746340978854,60000,36812.07786666667,1.6336216990373917
2021,3,2021_t3,1086,253,833,0.23296500920810312,0.277997824794831,72500,39422.7203,1.9157756144721585
2021,4,2021_t4,1467,328,1139,0.22358554873892297,0.2605618189697994,72000,42230.361066666665,1.7240145136516631
2022,1,2022_t1,1445,346,1099,0.23944636678200693,0.2629618132261193,86000,47867.8464,1.8542430329528083
2022,2,2022_t2,1650,415,1235,0.2515151515151515,0.28436241602865847,91110,56797.312,1.6349584293555783
2022,3,2022_t3,1688,412,1276,0.24407582938388625,0.2932419926961256,110000,68210.65386666666,1.7592559695229937
2022,4,2022_t4,1596,432,1164,0.2706766917293233,0.3015930734058162,134500,83196.71946666668,1.563275510882743
