crisis,momento,fecha,anio,trimestre,gba,tasa_pobreza,hogares_muestrales
Crisis 2009,Antes,2007-01-01,2007,1,CABA,0.08056249269616478,874
Crisis 2009,Antes,2007-01-01,2007,1,Partidos del GBA,0.19533467596001558,1988
Crisis 2009,Antes,2007-04-01,2007,2,CABA,0.06132305307511506,854
Crisis 2009,Antes,2007-04-01,2007,2,Partidos del GBA,0.19946794562457784,1898
Crisis 2009,Antes,2007-10-01,2007,4,CABA,0.0864366079144032,791
Crisis 2009,Antes,2007-10-01,2007,4,Partidos del GBA,0.22802286541390326,1862
Crisis 2009,Antes,2008-01-01,2008,1,CABA,0.05167720518357403,806
Crisis 2009,Antes,2008-01-01,2008,1,Partidos del GBA,0.1978633053643414,1965
Crisis 2009,Antes,2008-04-01,2008,2,CABA,0.059378114342268154,851
Crisis 2009,Antes,2008-04-01,2008,2,Partidos del GBA,0.20569676372200812,1951
Crisis 2009,Antes,2008-07-01,2008,3,CABA,0.06035004028361001,793
Crisis 2009,Antes,2008-07-01,2008,3,Partidos del GBA,0.18492397172674843,1959
Crisis 2009,Antes,2008-10-01,2008,4,CABA,0.06362106451923823,800
Crisis 2009,Antes,2008-10-01,2008,4,Partidos del GBA,0.16782036965506789,1952
Crisis 2009,Después,2010-01-01,2010,1,CABA,0.05335215135665444,746
Crisis 2009,Después,2010-01-01,2010,1,Partidos del GBA,0.14041115524796266,1798
Crisis 2009,Después,2010-04-01,2010,2,CABA,0.06825163247618793,758
Crisis 2009,Después,2010-04-01,2010,2,Partidos del GBA,0.17071820065969734,1842
Crisis 2009,Después,2010-07-01,2010,3,CABA,0.04299379671233388,810
Crisis 2009,Después,2010-07-01,2010,3,Partidos del GBA,0.14484658574263182,1893
Crisis 2009,Después,2010-10-01,2010,4,CABA,0.05953196663609019,797
Crisis 2009,Después,2010-10-01,2010,4,Partidos del GBA,0.14549609166563068,1897
Crisis 2009,Después,2011-01-01,2011,1,CABA,0.04897818226140657,777
Crisis 2009,Después,2011-01-01,2011,1,Partidos del GBA,0.11949331616061992,1876
Crisis 2009,Después,2011-04-01,2011,2,CABA,0.036789027898877155,823
Crisis 2009,Después,2011-04-01,2011,2,Partidos del GBA,0.15317691387795096,1911
Crisis 2009,Después,2011-07-01,2011,3,CABA,0.03348014241242468,803
Crisis 2009,Después,2011-07-01,2011,3,Partidos del GBA,0.12249253426390616,1843
Crisis 2009,Después,2011-10-01,2011,4,CABA,0.054340754196781714,806
Crisis 2009,Después,2011-10-01,2011,4,Partidos del GBA,0.13792697540187865,1878
Crisis 2020,Antes,2018-01-01,2018,1,CABA,0.05024278092199551,595
Crisis 2020,Antes,2018-01-01,2018,1,Partidos del GBA,0.23284923539509997,1688
Crisis 2020,Antes,2018-04-01,2018,2,CABA,0.08531597958148004,601
Crisis 2020,Antes,2018-04-01,2018,2,Partidos del GBA,0.2506937146023793,1774
Crisis 2020,Antes,2018-07-01,2018,3,CABA,0.07284302348911122,580
Crisis 2020,Antes,2018-07-01,2018,3,Partidos del GBA,0.24217653956001686,1745
Crisis 2020,Antes,2018-10-01,2018,4,CABA,0.08325625080610256,617
Crisis 2020,Antes,2018-10-01,2018,4,Partidos del GBA,0.31423829645443213,1772
Crisis 2020,Antes,2019-01-01,2019,1,CABA,0.07333418839325281,627
Crisis 2020,Antes,2019-01-01,2019,1,Partidos del GBA,0.2935557310954973,1737
Crisis 2020,Antes,2019-04-01,2019,2,CABA,0.08826885144967207,634
Crisis 2020,Antes,2019-04-01,2019,2,Partidos del GBA,0.3113388141458914,1766
Crisis 2020,Antes,2019-07-01,2019,3,CABA,0.08552394485116198,621
Crisis 2020,Antes,2019-07-01,2019,3,Partidos del GBA,0.2928851633150266,1775
Crisis 2020,Antes,2019-10-01,2019,4,CABA,0.09560927994436462,605
Crisis 2020,Antes,2019-10-01,2019,4,Partidos del GBA,0.3453019797264069,1676
Crisis 2020,Después,2021-01-01,2021,1,CABA,0.11303018069267565,282
Crisis 2020,Después,2021-01-01,2021,1,Partidos del GBA,0.3738563268267118,692
Crisis 2020,Después,2021-04-01,2021,2,CABA,0.08810552589165214,243
Crisis 2020,Después,2021-04-01,2021,2,Partidos del GBA,0.3671373552341672,693
Crisis 2020,Después,2021-07-01,2021,3,CABA,0.12112001026656882,350
Crisis 2020,Después,2021-07-01,2021,3,Partidos del GBA,0.34566051606341536,755
Crisis 2020,Después,2021-10-01,2021,4,CABA,0.10003610984496446,449
Crisis 2020,Después,2021-10-01,2021,4,Partidos del GBA,0.31291231326954116,1044
Crisis 2020,Después,2022-01-01,2022,1,CABA,0.1338474638121883,450
Crisis 2020,Después,2022-01-01,2022,1,Partidos del GBA,0.3099006567843017,1026
Crisis 2020,Después,2022-04-01,2022,2,CABA,0.10350619543597647,540
Crisis 2020,Después,2022-04-01,2022,2,Partidos del GBA,0.3473043151668783,1149
Crisis 2020,Después,2022-07-01,2022,3,CABA,0.10841409321113955,527
Crisis 2020,Después,2022-07-01,2022,3,Partidos del GBA,0.3582443102076161,1193
Crisis 2020,Después,2022-10-01,2022,4,CABA,0.11900090701549201,474
Crisis 2020,Después,2022-10-01,2022,4,Partidos del GBA,0.3661228334747216,1157
