anio,trimestre,mes,fecha,ipc_cifra,fuente_ipc
2007,1,1,2007-01-01,22.031247512474046,IPC-CIFRA Provincias
2007,1,2,2007-02-01,22.284216928390567,IPC-CIFRA Provincias
2007,1,3,2007-03-01,22.541447644159845,IPC-CIFRA Provincias
2007,2,4,2007-04-01,22.963120937660033,IPC-CIFRA Provincias
2007,2,5,2007-05-01,23.46165228320102,IPC-CIFRA Provincias
2007,2,6,2007-06-01,23.98201319873695,IPC-CIFRA Provincias
2007,3,7,2007-07-01,24.695096643220026,IPC-CIFRA Provincias
2007,3,8,2007-08-01,25.534067386407628,IPC-CIFRA Provincias
2007,3,9,2007-09-01,26.18944222301826,IPC-CIFRA Provincias
2007,4,10,2007-10-01,26.815822809828504,IPC-CIFRA Provincias
2007,4,11,2007-11-01,26.958435279628883,IPC-CIFRA Provincias
2007,4,12,2007-12-01,27.203259763502906,IPC-CIFRA Provincias
2008,1,1,2008-01-01,27.52091068374784,IPC-CIFRA Provincias
2008,1,2,2008-02-01,28.205933895101378,IPC-CIFRA Provincias
2008,1,3,2008-03-01,29.292244740750466,IPC-CIFRA Provincias
2008,2,4,2008-04-01,30.277552596820964,IPC-CIFRA Provincias
2008,2,5,2008-05-01,30.8153287065112,IPC-CIFRA Provincias
2008,2,6,2008-06-01,31.44202482212242,IPC-CIFRA Provincias
2008,3,7,2008-07-01,31.919796398227366,IPC-CIFRA Provincias
2008,3,8,2008-08-01,32.27610631077937,IPC-CIFRA Provincias
2008,3,9,2008-09-01,32.72463801559604,IPC-CIFRA Provincias
2008,4,10,2008-10-01,32.99611883406594,IPC-CIFRA Provincias
2008,4,11,2008-11-01,33.260822038335405,IPC-CIFRA Provincias
2008,4,12,2008-12-01,33.4455480549465,IPC-CIFRA Provincias
2009,1,1,2009-01-01,33.73351167390473,IPC-CIFRA Provincias
2009,1,2,2009-02-01,33.91377940394666,IPC-CIFRA Provincias
2009,1,3,2009-03-01,34.437964681092225,IPC-CIFRA Provincias
2009,2,4,2009-04-01,34.90519788538975,IPC-CIFRA Provincias
2009,2,5,2009-05-01,35.11236496905132,IPC-CIFRA Provincias
2009,2,6,2009-06-01,35.285613930261164,IPC-CIFRA Provincias
2009,3,7,2009-07-01,35.61197221812478,IPC-CIFRA Provincias
2009,3,8,2009-08-01,36.13364171773961,IPC-CIFRA Provincias
2009,3,9,2009-09-01,36.49487075731762,IPC-CIFRA Provincias
2009,4,10,2009-10-01,37.06212013458024,IPC-CIFRA Provincias
2009,4,11,2009-11-01,37.53294604420709,IPC-CIFRA Provincias
2009,4,12,2009-12-01,38.430407197452965,IPC-CIFRA Provincias
2010,1,1,2010-01-01,39.247603351964635,IPC-CIFRA Provincias
2010,1,2,2010-02-01,40.58762677347689,IPC-CIFRA Provincias
2010,1,3,2010-03-01,41.6432228890577,IPC-CIFRA Provincias
2010,2,4,2010-04-01,42.45883735091005,IPC-CIFRA Provincias
2010,2,5,2010-05-01,43.105844887672475,IPC-CIFRA Provincias
2010,2,6,2010-06-01,43.62721233927153,IPC-CIFRA Provincias
2010,3,7,2010-07-01,44.218180014980305,IPC-CIFRA Provincias
2010,3,8,2010-08-01,44.79298739452276,IPC-CIFRA Provincias
2010,3,9,2010-09-01,45.30068965183058,IPC-CIFRA Provincias
2010,4,10,2010-10-01,46.45868430146424,IPC-CIFRA Provincias
2010,4,11,2010-11-01,47.50765728888285,IPC-CIFRA Provincias
2010,4,12,2010-12-01,48.419144935464125,IPC-CIFRA Provincias
2011,1,1,2011-01-01,49.1554227411264,IPC-CIFRA Provincias
2011,1,2,2011-02-01,49.868299885108286,IPC-CIFRA Provincias
2011,1,3,2011-03-01,51.0162605105203,IPC-CIFRA Provincias
2011,2,4,2011-04-01,52.10543687184504,IPC-CIFRA Provincias
2011,2,5,2011-05-01,52.905664814261,IPC-CIFRA Provincias
2011,2,6,2011-06-01,53.621609220328196,IPC-CIFRA Provincias
2011,3,7,2011-07-01,54.6595939619385,IPC-CIFRA Provincias
2011,3,8,2011-08-01,55.700834329893745,IPC-CIFRA Provincias
2011,3,9,2011-09-01,56.71581251066406,IPC-CIFRA Provincias
2011,4,10,2011-10-01,57.28943671936326,IPC-CIFRA Provincias
2011,4,11,2011-11-01,58.28725771501726,IPC-CIFRA Provincias
2011,4,12,2011-12-01,59.33613542065122,IPC-CIFRA Provincias
2012,1,1,2012-01-01,60.12324402374321,IPC-CIFRA Provincias
2012,1,2,2012-02-01,60.83067883340254,IPC-CIFRA Provincias
2012,1,3,2012-03-01,62.52470951796535,IPC-CIFRA Provincias
2012,2,4,2012-04-01,64.19807575923626,IPC-CIFRA Provincias
2012,2,5,2012-05-01,65.2437644816709,IPC-CIFRA Provincias
2012,2,6,2012-06-01,66.34510725274329,IPC-CIFRA Provincias
2012,3,7,2012-07-01,68.94755656841039,IPC-CIFRA Provincias
2012,3,8,2012-08-01,70.3899866608783,IPC-CIFRA Provincias
2012,3,9,2012-09-01,71.56361031841578,IPC-CIFRA Provincias
2012,4,10,2012-10-01,72.6377224332744,IPC-CIFRA Provincias
2012,4,11,2012-11-01,74.04489522503665,IPC-CIFRA Provincias
2012,4,12,2012-12-01,75.38893348441661,IPC-CIFRA Provincias
2013,1,1,2013-01-01,77.06267596354748,IPC-CIFRA Provincias
2013,1,2,2013-02-01,78.070912474015,IPC-CIFRA Provincias
2013,1,3,2013-03-01,79.23022151051431,IPC-CIFRA Provincias
2013,2,4,2013-04-01,80.72470779694713,IPC-CIFRA Provincias
2013,2,5,2013-05-01,81.96986179994454,IPC-CIFRA Provincias
2013,2,6,2013-06-01,83.60417008353171,IPC-CIFRA Provincias
2013,3,7,2013-07-01,85.72413382949301,IPC-CIFRA Provincias
2013,3,8,2013-08-01,87.53392143856254,IPC-CIFRA Provincias
2013,3,9,2013-09-01,89.39868132083976,IPC-CIFRA Provincias
2013,4,10,2013-10-01,91.4292337753937,IPC-CIFRA Provincias
2013,4,11,2013-11-01,93.63591995695819,IPC-CIFRA Provincias
2013,4,12,2013-12-01,95.83348321985088,IPC-CIFRA Provincias
2014,1,1,2014-01-01,100.00000000000001,IPC-CIFRA Provincias
2014,1,2,2014-02-01,104.88109227603562,IPC-CIFRA Provincias
2014,1,3,2014-03-01,108.51748244179358,IPC-CIFRA Provincias
2014,2,4,2014-04-01,111.55642123383004,IPC-CIFRA Provincias
2014,2,5,2014-05-01,114.17664029629636,IPC-CIFRA Provincias
2014,2,6,2014-06-01,116.57262357475761,IPC-CIFRA Provincias
2014,3,7,2014-07-01,118.99441480319564,IPC-CIFRA Provincias
2014,3,8,2014-08-01,121.53738403720169,IPC-CIFRA Provincias
2014,3,9,2014-09-01,124.49303845763222,IPC-CIFRA Provincias
2014,4,10,2014-10-01,126.95042331309625,IPC-CIFRA Provincias
2014,4,11,2014-11-01,129.3843572798037,IPC-CIFRA Provincias
2014,4,12,2014-12-01,131.34929661428288,IPC-CIFRA Provincias
2015,1,1,2015-01-01,133.6404666571522,IPC-CIFRA Provincias
2015,1,2,2015-02-01,135.74604096341383,IPC-CIFRA Provincias
2015,1,3,2015-03-01,137.96447897386463,IPC-CIFRA Provincias
2015,2,4,2015-04-01,141.09968745534664,IPC-CIFRA Provincias
2015,2,5,2015-05-01,144.0453199139318,IPC-CIFRA Provincias
2015,2,6,2015-06-01,145.9542167884309,IPC-CIFRA Provincias
2015,3,7,2015-07-01,149.082785758469,IPC-CIFRA Provincias
2015,3,8,2015-08-01,152.09599617155243,IPC-CIFRA Provincias
2015,3,9,2015-09-01,154.78305295920865,IPC-CIFRA Provincias
2015,4,10,2015-10-01,157.3748985359358,IPC-CIFRA Provincias
2015,4,11,2015-11-01,160.3808290183112,IPC-CIFRA Provincias
