anio,trimestre,meses_cifra,ipc_cifra_trimestral,fuente_ipc
2007,1,3,22.28563736167482,IPC-CIFRA Provincias
2007,2,3,23.468928806532666,IPC-CIFRA Provincias
2007,3,3,25.472868750881972,IPC-CIFRA Provincias
2007,4,3,26.992505950986764,IPC-CIFRA Provincias
2008,1,3,28.33969643986656,IPC-CIFRA Provincias
2008,2,3,30.84496870848486,IPC-CIFRA Provincias
2008,3,3,32.306846908200924,IPC-CIFRA Provincias
2008,4,3,33.23416297578262,IPC-CIFRA Provincias
2009,1,3,34.02841858631454,IPC-CIFRA Provincias
2009,2,3,35.101058928234075,IPC-CIFRA Provincias
2009,3,3,36.080161564394004,IPC-CIFRA Provincias
2009,4,3,37.6751577920801,IPC-CIFRA Provincias
2010,1,3,40.49281767149974,IPC-CIFRA Provincias
2010,2,3,43.06396485928469,IPC-CIFRA Provincias
2010,3,3,44.77061902044455,IPC-CIFRA Provincias
2010,4,3,47.46182884193707,IPC-CIFRA Provincias
2011,1,3,50.01332771225166,IPC-CIFRA Provincias
2011,2,3,52.87757030214475,IPC-CIFRA Provincias
2011,3,3,55.69208026749877,IPC-CIFRA Provincias
2011,4,3,58.30427661834391,IPC-CIFRA Provincias
2012,1,3,61.15954412503703,IPC-CIFRA Provincias
2012,2,3,65.26231583121681,IPC-CIFRA Provincias
2012,3,3,70.30038451590148,IPC-CIFRA Provincias
2012,4,3,74.02385038090922,IPC-CIFRA Provincias
2013,1,3,78.12126998269227,IPC-CIFRA Provincias
2013,2,3,82.09957989347446,IPC-CIFRA Provincias
2013,3,3,87.55224552963178,IPC-CIFRA Provincias
2013,4,3,93.63287898406759,IPC-CIFRA Provincias
2014,1,3,104.46619157260973,IPC-CIFRA Provincias
2014,2,3,114.10189503496133,IPC-CIFRA Provincias
2014,3,3,121.67494576600986,IPC-CIFRA Provincias
2014,4,3,129.2280257357276,IPC-CIFRA Provincias
2015,1,3,135.78366219814356,IPC-CIFRA Provincias
2015,2,3,143.6997413859031,IPC-CIFRA Provincias
2015,3,3,151.98727829641,IPC-CIFRA Provincias
2015,4,3,161.7971798871263,IPC-CIFRA Provincias
2016,1,3,180.81697808189864,IPC-CIFRA Provincias
2016,2,3,205.19936712744715,IPC-CIFRA Provincias
2016,3,3,217.56912782454583,IPC-CIFRA Provincias
2016,4,3,228.4878653395118,IPC-CIFRA Provincias
2017,1,3,241.92214287556567,IPC-CIFRA Provincias
2017,2,3,258.04399678887785,IPC-CIFRA Provincias
2017,3,3,270.82619028021253,IPC-CIFRA Provincias
2017,4,3,284.39860078331145,IPC-CIFRA Provincias
2018,1,3,303.5576007703526,IPC-CIFRA Provincias
2018,2,3,328.83980586022886,IPC-CIFRA Provincias
2018,3,3,365.570676029049,IPC-CIFRA Provincias
2018,4,3,416.9399325009918,IPC-CIFRA Provincias
