crisis,momento,periodo_crisis,bloque,gba,situacion_pobreza,hogares,hogares_expandidos,n_integrantes_media,adulto_equiv_media,n_menores_18_media,prop_menores_media,n_dependientes_media,tasa_dependencia_media,n_ocupados_media,n_perceptores_media,adulto_equiv_por_perceptor_media,adulto_equiv_por_ocupado_media,ingreso_adulto_equiv_mediana,ratio_itf_linea_mediana
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,Pobre,352,540314,3.7301136363636362,2.949346590909091,1.5142045454545454,0.3104737513118195,1.6846590909090908,0.8968976545842218,1.0426136363636365,1.1960227272727273,2.391106418918919,2.569737562189055,223.72891639364155,0.6382349563277082
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,No pobre,5417,7629023,2.4495107993354255,1.97082333394868,0.4292043566549751,0.11193347808633021,0.8820380284290198,0.4374779129854976,1.2992431235000923,1.730108916374377,1.1814822780136607,1.4321730588235295,1538.4615384615383,4.143329270635343
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,Pobre,2537,3878084,4.646826960977532,3.643736696886086,2.1687031927473392,0.39292364020186366,2.3389830508474576,1.1593775597737401,1.219550650374458,1.5388253843121797,2.5620419199071613,2.9591844576399917,240,0.6516052223634559
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,No pobre,11038,15817363,3.1619858670048924,2.543959956513861,0.7682551186809204,0.1763992798136212,1.183638340279036,0.5837941232249958,1.491574560608806,1.9325058887479616,1.424006715976842,1.7566957765759588,920.9314723272269,2.4494773069918354
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,Pobre,261,474284,3.478927203065134,2.710919540229885,1.4597701149425288,0.3065809988223781,1.6628352490421456,0.937735094037615,0.9386973180076629,1.1264367816091954,2.3149718196457325,2.5482320441988953,400.990099009901,0.6329759771023153
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,No pobre,6059,9100427,2.3928040930846675,1.9163376794850635,0.43257963360290475,0.11067674005039907,0.8702756230401056,0.4333460814309249,1.293282719920779,1.7380755900313583,1.1358965254363835,1.3962610062893082,2985.0746268656717,4.583847071089151
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,Pobre,1986,3375934,4.49496475327291,3.542527693856999,2.0649546827794563,0.38663090828765256,2.215508559919436,1.1133071649712516,1.1555891238670695,1.6002014098690835,2.3844698268166398,2.9906974963790605,422.53521126760563,0.6698438990442522
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,No pobre,12952,20436073,3.134651019147622,2.5089306670784435,0.7817325509573811,0.17601694221038724,1.2227455219271155,0.6078518444930128,1.42958616429895,1.9719734403953058,1.3506242012632725,1.7833291130605617,1743.979144252255,2.657909455806844
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,Pobre,450,800503,3.6644444444444444,2.9249555555555555,1.3933333333333333,0.2969584551251218,1.54,0.8084288990825688,1.0888888888888888,1.4933333333333334,2.0351524390243902,2.508167142857143,5136.470985155196,0.6344428346877109
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,No pobre,4430,9290215,2.1586907449209933,1.7202009029345373,0.3792325056433409,0.1038130254495943,0.8636568848758465,0.4073610246836756,1.1442437923250564,1.6234762979683972,1.0675525959367946,1.3124974484588692,25700.93457943925,3.103486182324569
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,Pobre,4186,8682452,3.9868609651218345,3.148948877209747,1.6784519827998088,0.3525903775844053,1.835164835164835,0.9904969945386917,1.0836120401337792,1.5917343526039178,2.133081337806169,2.675720515970516,4960.083513217029,0.6114232841574939
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,No pobre,9747,21677765,2.6362983482097055,2.1077326356827744,0.5750487329434698,0.1444421881710278,1.081768749358777,0.5569056552005768,1.199548579049964,1.791730788960706,1.2181037649354054,1.6195780408486615,16760.563380281692,2.0035398319134714
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,Pobre,340,1092277,3.05,2.462794117647059,1.0205882352941176,0.25019957983193275,1.2647058823529411,0.7269592476489029,0.9794117647058823,1.3470588235294119,1.8361047297297297,2.1824795918367346,18081.37070896652,0.6622188430579834
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,No pobre,2975,8748721,2.0010084033613444,1.6166487394957982,0.2964705882352941,0.08821288515406163,0.7667226890756302,0.36240048069701064,1.0880672268907563,1.5636974789915967,1.0415704201680673,1.2487212604403948,84916.20111731843,2.9246439956989305
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,Partidos del GBA,Pobre,2437,10846658,3.6622897004513746,2.934558883873615,1.3713582273286828,0.30437804683803865,1.5752974969224456,0.88226406743517,1.1009437833401723,1.597045547804678,1.986039931943505,2.4671206866351376,17948.71794871795,0.6363254070171768
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,Partidos del GBA,No pobre,5272,20362957,2.3831562974203337,1.907845220030349,0.4527693474962064,0.11904573728833971,1.0045523520485584,0.5083485599930393,1.122534142640364,1.7164264036418817,1.1381820308548305,1.4883730586228567,58823.529411764706,1.9424925991031974
