anio,trimestre,periodo,crisis,momento,periodo_crisis,bloque,hogares_totales,hogares_entran_medicion,hogares_fuera_medicion,hogares_pobres,hogares_no_pobres,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,hogares_no_pobres_cerca_linea,hogares_pobres_con_ocupados,hogares_pobres_con_jefe_ocupado,itf_mediana,linea_pobreza_mediana,ratio_itf_linea_mediana,brecha_pobreza_rel_media
2007,1,2007_t1,Crisis 2009,Antes,Antes de crisis 2009,2007-2011,2862,2862,0,434,2428,0.15164220824598182,0.16180416498280564,167,347,283,1600,703.4475999999999,2.5812331186357182,0.3867729827857339
2007,2,2007_t2,Crisis 2009,Antes,Antes de crisis 2009,2007-2011,2752,2752,0,391,2361,0.14207848837209303,0.1587276887644688,175,323,261,1600,718.9181540690802,2.539088511070517,0.3921757075200425
2007,4,2007_t4,Crisis 2009,Antes,Antes de crisis 2009,2007-2011,2653,2653,0,478,2175,0.18017338861666038,0.18655595175324471,162,377,306,1816,869.995324695837,2.373652602545472,0.3942025730450988
2008,1,2008_t1,Crisis 2009,Antes,Antes de crisis 2009,2007-2011,2771,2771,0,414,2357,0.14940454709491158,0.1552147304744619,152,344,271,2000,932.2888587283561,2.4912207109294227,0.4149981616568389
2008,2,2008_t2,Crisis 2009,Antes,Antes de crisis 2009,2007-2011,2802,2802,0,413,2389,0.14739471805852963,0.1629257428212718,163,329,263,2067.5,965.4072217597698,2.3699887685575565,0.3752369320721842
2008,3,2008_t3,Crisis 2009,Antes,Antes de crisis 2009,2007-2011,2752,2752,0,393,2359,0.14280523255813954,0.14795667177389993,162,310,244,2360,1015.4649169180193,2.52460563461379,0.425971160223924
2008,4,2008_t4,Crisis 2009,Antes,Antes de crisis 2009,2007-2011,2752,2752,0,366,2386,0.13299418604651161,0.13745293661127692,184,307,228,2382,1066.743818237916,2.4376777150418016,0.39055649074010257
2010,1,2010_t1,Crisis 2009,Despues,Despues de crisis 2009,2007-2011,2544,2544,0,290,2254,0.1139937106918239,0.11544345094160201,136,223,180,3200,1240.4069215697336,2.7163592080893846,0.4048696643955153
2010,2,2010_t2,Crisis 2009,Despues,Despues de crisis 2009,2007-2011,2600,2600,0,348,2252,0.13384615384615384,0.14177505977363633,142,275,208,3000,1324.9037804114723,2.4748384907786267,0.3899939444807113
2010,3,2010_t3,Crisis 2009,Despues,Despues de crisis 2009,2007-2011,2703,2703,0,285,2418,0.10543840177580466,0.1158238827464136,127,243,194,3642,1401.261882723291,2.788424834080357,0.3884676642152033
2010,4,2010_t4,Crisis 2009,Despues,Despues de crisis 2009,2007-2011,2694,2694,0,285,2409,0.10579064587973273,0.12135034134584503,123,223,181,3700,1441.2444994499879,2.7537772847552526,0.3783412611741493
2011,1,2011_t1,Crisis 2009,Despues,Despues de crisis 2009,2007-2011,2653,2653,0,238,2415,0.08970976253298153,0.09958519709470688,145,193,161,4000,1505.4021712146086,2.9586875080341475,0.4109876969967804
2011,2,2011_t2,Crisis 2009,Despues,Despues de crisis 2009,2007-2011,2734,2734,0,296,2438,0.10826627651792246,0.11913882911746237,118,237,183,4200,1570.488285745492,2.8827383619841704,0.3969880604366986
2011,3,2011_t3,Crisis 2009,Despues,Despues de crisis 2009,2007-2011,2646,2646,0,228,2418,0.08616780045351474,0.0964110599792507,107,181,142,4900,1680.041438222384,3.118347675846244,0.39992442353663715
2011,4,2011_t4,Crisis 2009,Despues,Despues de crisis 2009,2007-2011,2684,2684,0,277,2407,0.10320417287630403,0.11359476817776944,124,217,169,4600,1723.8986630634558,2.8617304711905445,0.3535952109654844
2018,1,2018_t1,Crisis 2020,Antes,Antes de crisis 2020,2018-2022,3429,2283,1146,446,1837,0.1953569864213754,0.1861788809373075,155,349,264,23000,11639.775933333332,2.12375222182828,0.39427408462566915
2018,2,2018_t2,Crisis 2020,Antes,Antes de crisis 2020,2018-2022,3472,2375,1097,538,1837,0.2265263157894737,0.20931016646726558,191,421,336,21000,12965.481866666667,1.8082402276638572,0.40088835903510056
