crisis,momento,periodo_crisis,bloque,gba,adulto_equiv_grupo,hogares,hogares_expandidos,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,n_integrantes_media,n_menores_18_media,n_ocupados_media,n_perceptores_media,ratio_itf_linea_mediana,brecha_pobreza_rel_media_pobres
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,Menos de 2,3231,4520950,0.032497678737233054,0.03296740729271503,1.5168678427731352,0.0386877127824203,0.8245125348189415,1.367997523986382,4.608580921179298,0.5518682950832754
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,2 a menos de 3,1430,2056722,0.07622377622377623,0.08161919792757602,3.118181818181818,0.7559440559440559,1.5895104895104895,1.8888111888111887,3.56569131955545,0.44031870489137526
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,3 a menos de 4,734,1077208,0.08583106267029973,0.09298482744279657,4.128065395095367,1.2343324250681198,2.0517711171662127,2.226158038147139,3.149257248307816,0.3474529690376698
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,4 o mas,374,514457,0.20053475935828877,0.23954966109898398,5.86096256684492,1.9946524064171123,2.572192513368984,2.7754010695187166,2.1574990365612243,0.40304337199135326
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,Menos de 2,4775,6579516,0.09151832460732984,0.09857852766069723,1.6330890052356022,0.06701570680628273,0.7438743455497382,1.3744502617801047,2.7505151937833494,0.4489503858353229
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,2 a menos de 3,3466,5092489,0.15377957299480668,0.15856686190191083,3.182919792267744,0.8341027120600115,1.5060588574725908,1.8084246970571263,2.1085341339922503,0.3935825879630144
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,3 a menos de 4,2978,4446584,0.22128945601074546,0.22957735646059987,4.290799194089994,1.4590329079919409,1.8072531900604432,2.077568838146407,1.764764526670204,0.3418017389383886
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,4 o mas,2356,3576858,0.3853989813242784,0.3917264817334096,6.40195246179966,2.7275042444821733,2.293718166383701,2.6387945670628183,1.2675651664350382,0.3937054579462292
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,Menos de 2,3724,5468488,0.024704618689581095,0.027891987693856146,1.5048335123523093,0.03920515574650913,0.8579484425349087,1.3821160042964553,5.211410236554812,0.6482146108496721
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,2 a menos de 3,1463,2296772,0.03896103896103896,0.05074905127718381,3.101161995898838,0.7108680792891319,1.6971975393028025,2.030075187969925,3.997652310787677,0.4351582803734186
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,3 a menos de 4,838,1288654,0.07756563245823389,0.08449746790061569,4.194510739856802,1.3460620525059666,1.9809069212410502,2.2350835322195706,3.224940700008897,0.36051670479278825
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,4 o mas,295,520797,0.15932203389830507,0.18492810058429676,5.932203389830509,2.3322033898305086,2.51864406779661,2.830508474576271,2.2444944872082706,0.2861499035702989
