crisis,momento,periodo_crisis,bloque,gba,carga_infantil,hogares,hogares_expandidos,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,adulto_equiv_media,n_perceptores_media,ratio_itf_linea_mediana
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,Sin menores,4038,5510413,0.03194650817236255,0.03252787041552058,1.5769489846458644,1.6446260525012382,4.444241982163673
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,1 menor,950,1371902,0.07578947368421053,0.08042411192636209,2.6521894736842104,1.82,3.255026803463258
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,2 menores,558,910468,0.13082437275985664,0.12305319901413339,3.2181899641577063,1.7383512544802868,2.6329147897395746
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,3 o mas menores,223,376554,0.34977578475336324,0.3683455759333323,4.623632286995516,2.031390134529148,1.348037856079741
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,Sin menores,6728,9261848,0.08516646848989298,0.08932817727088589,1.84160225921522,1.7783888228299642,2.7231696546821724
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,1 menor,2905,4416133,0.15869191049913942,0.16376680684209466,2.980530120481928,2.002065404475043,1.9533877412977354
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,2 menores,2166,3317688,0.25346260387811637,0.2622681819387477,3.4769529085872577,1.8388734995383196,1.5570338668649688
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,3 o mas menores,1776,2699778,0.5371621621621622,0.5398221631556372,4.923744369369369,1.9543918918918919,0.9388628657921412
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,Sin menores,4552,6573517,0.02328646748681898,0.025338642921285515,1.5114543057996486,1.6513620386643233,5.042482702573597
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,1 menor,898,1436647,0.04899777282850779,0.055433937494736005,2.632672605790646,1.8697104677060135,3.4853595636097263
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,2 menores,610,1050010,0.07540983606557378,0.09029723526442605,3.180032786885246,1.8147540983606558,3.0302358197922468
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,3 o mas menores,260,514537,0.25,0.2590056691744228,4.363615384615384,2.0076923076923077,1.755508993823645
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,Sin menores,7760,11648622,0.059922680412371136,0.0647344381163712,1.7668427835051546,1.7876288659793815,3.081752224035161
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,1 menor,3058,5187590,0.11870503597122302,0.12299237218053084,2.9839339437540877,2.089274035317201,2.2050906662689367
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,2 menores,2420,4145518,0.1987603305785124,0.20372773679911654,3.4738719008264463,1.971900826446281,1.7656239082482714
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,3 o mas menores,1700,2830277,0.3982352941176471,0.4025316249964226,4.875758823529412,2.1682352941176473,1.1750168374778953
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,Sin menores,3491,7254036,0.04812374677742767,0.042326919800232586,1.3605614437124034,1.5156115726152966,3.323211385322206
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,1 menor,713,1508067,0.11360448807854137,0.08779251850216203,2.5256661991584854,1.849929873772791,2.284308964803446
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,2 menores,501,997471,0.2155688622754491,0.1929058589172016,3.234950099800399,1.8483033932135728,1.8813279494430741
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,3 o mas menores,175,331144,0.5314285714285715,0.5092859903848477,4.374228571428572,1.8742857142857143,0.943024389910757
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,Sin menores,7443,16074837,0.15719467956469166,0.15138025971896324,1.5957342469434368,1.6212548703479779,1.9917583694350602
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,1 menor,2748,6280380,0.3165938864628821,0.29645021479592,2.75995269286754,1.8642649199417758,1.338517297768313
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,2 menores,2273,4962023,0.4755829300483942,0.45260955058047897,3.3139727232732072,1.796304443466784,1.047317859690361
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,3 o mas menores,1469,3042977,0.7249829816201497,0.703705614600439,4.582375765827093,1.9428182437031996,0.6494108915483812
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,Sin menores,2496,6264520,0.06169871794871795,0.05883499454068308,1.333994391025641,1.467147435897436,2.9838178272554563
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,1 menor,475,1904345,0.15578947368421053,0.13113590237063139,2.473936842105263,1.7621052631578948,2.0517982526075054
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,2 menores,291,1400302,0.2611683848797251,0.21948836750929443,3.1514776632302404,1.745704467353952,1.6946066634916515
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,3 o mas menores,53,271831,0.6792452830188679,0.6129764449235002,4.245849056603774,1.9433962264150944,0.762231299619222
