crisis,momento,periodo_crisis,bloque,gba,jefe_ocupado,hogares,hogares_expandidos,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,adulto_equiv_media,n_integrantes_media,n_menores_18_media,n_perceptores_media,ratio_itf_linea_mediana,brecha_pobreza_rel_media_pobres
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,0,1760,2413154,0.06988636363636364,0.07430980368430692,1.4915113636363637,1.9659090909090908,0.13295454545454546,1.5738636363636365,3.2548314428287157,0.5597152186250614
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,1,4009,5756183,0.05712147667747568,0.06271395471617215,2.267163881267149,2.774257919680718,0.6545273135445249,1.751808431030182,4.288337221395628,0.38957959770631423
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,0,4277,5834404,0.2127659574468085,0.2292309548670267,2.195157820902502,2.822539162964695,0.5639466916062661,1.7523965396305823,2.0231745601196773,0.45702045320185797
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,1,9298,13861043,0.17498386749838676,0.1832948646072305,3.0044848354484834,3.723273822327382,1.2443536244353623,1.907937190793719,2.1011667163299457,0.352067687373206
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,0,1849,2744703,0.0578691184424013,0.06944248612691428,1.4759707950243375,1.949161709031909,0.13899405083829097,1.6143861546782043,3.6057803937000865,0.565222734402601
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,1,4471,6830008,0.0344441959293223,0.041535090442060975,2.1448378438828004,2.6396779244017,0.6139566092596734,1.753522701856408,4.829181962830422,0.3950880836215043
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,0,5129,7462196,0.14076818093195553,0.15768012526071415,2.092866055761357,2.6925326574380972,0.4794306882433223,1.8381750828621564,2.3529783874233368,0.4420110345524463
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,1,9809,16349811,0.128861249872566,0.13451494943886508,2.9357549189519827,3.6412478336221836,1.1996126006728514,1.966663268426955,2.40180950260635,0.3446744101760959
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,0,1592,3181919,0.10866834170854271,0.09390559596268792,1.3838819095477388,1.8442211055276383,0.1721105527638191,1.4830402010050252,2.5618882662162172,0.503572626564905
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,1,3288,6908799,0.08424574209245742,0.07261797600422303,2.047925790754258,2.517031630170316,0.6183090024330901,1.673661800486618,2.9828549353912184,0.35733801382293245
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,0,5260,10535907,0.30779467680608363,0.30126784528375206,1.9812490494296577,2.5631178707224334,0.5627376425855514,1.623384030418251,1.5207559539965443,0.4974107023072731
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,1,8673,19824310,0.29597601752565433,0.2778569342388209,2.686982589646028,3.3325262308313155,1.1150697567162458,1.797301971636112,1.5283597337665271,0.37343841943457623
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,0,1056,2793964,0.1259469696969697,0.13501104523895083,1.3659943181818182,1.8106060606060606,0.1240530303030303,1.4943181818181819,2.0899898875192653,0.5210110509315654
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,1,2259,7047034,0.09163346613545817,0.10146978147118348,1.8611730854360338,2.2478972996901283,0.4860557768924303,1.5635236830455954,2.9035835667506875,0.3306790125206726
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,Partidos del GBA,0,2977,9928656,0.3103795767551226,0.380895359855352,1.8010614712798119,2.334229089687605,0.4155189788377561,1.579106483036614,1.427175983467327,0.47860261764053486
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,Partidos del GBA,1,4732,21280959,0.31973795435333896,0.3319812326126844,2.5037869822485206,3.072696534234996,0.9492814877430262,1.7413355874894336,1.4826490169321942,0.35739742586494827
