crisis,momento,periodo_crisis,bloque,gba,tipo_sosten_ingresos,hogares,hogares_expandidos,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,adulto_equiv_media,n_integrantes_media,n_menores_18_media,adulto_equiv_por_perceptor_media,dependientes_por_perceptor_media,ingreso_por_perceptor_mediana,ratio_itf_linea_mediana
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,Sin perceptores,56,79222,1,1,1.7775,2.1607142857142856,0.44642857142857145,NA,NA,NA,0
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,1 perceptor,2562,3675573,0.07650273224043716,0.08157585225487292,1.3947228727556598,1.769711163153786,0.366120218579235,1.3947228727556598,0.7135050741608119,1550,3.9438604601581666
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,2 perceptores,2450,3502353,0.0326530612244898,0.03608659663945924,2.282465306122449,2.8551020408163263,0.6171428571428571,1.1412326530612245,0.5595918367346939,1600,4.01508420510082
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,3 o mas perceptores,701,912189,0.028530670470756064,0.038222342080424125,3.4939514978601998,4.182596291012839,0.5463623395149786,1.0535763195435093,0.33632905373276273,1433.3333333333333,3.846631191011682
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,Sin perceptores,116,182519,1,1,2.2097413793103446,2.8620689655172415,1.0948275862068966,NA,NA,NA,0
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,1 perceptor,5350,7781512,0.24934579439252336,0.26207811540996145,2.0870822429906544,2.670467289719626,0.948785046728972,2.0870822429906544,1.2454205607476636,1100,1.7880797124961962
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,2 perceptores,5500,7974377,0.14545454545454545,0.15301872484834866,2.757050909090909,3.4585454545454546,1.0452727272727274,1.3785254545454546,0.7238181818181818,1040,2.2500728676524857
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,3 o mas perceptores,2609,3757039,0.11000383288616328,0.11604138258878867,4.115902644691452,5.00191644308164,1.1613645074741281,1.2162167953421308,0.4827821277993758,977,2.3076570134998837
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,Sin perceptores,54,91116,1,1,1.3594444444444445,1.7222222222222223,0.3333333333333333,NA,NA,NA,0
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,1 perceptor,2727,4158968,0.050605060506050605,0.06302813582600299,1.2887128712871287,1.635863586358636,0.32893289328932895,1.2887128712871287,0.656032269893656,3000,4.390154700121858
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,2 perceptores,2732,4162074,0.02013177159590044,0.022858795879169856,2.217163250366032,2.779648609077599,0.5999267935578331,1.108581625183016,0.5387994143484627,3100,4.5704964693793215
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,3 o mas perceptores,807,1162553,0.01734820322180917,0.022275113478697314,3.313035935563817,4.037174721189591,0.5551425030978935,1.0144129049389272,0.362282409866053,2666.6666666666665,4.3387526498695355
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,Sin perceptores,119,192356,1,1,1.7201680672268909,2.1512605042016806,0.5798319327731093,NA,NA,NA,0
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,1 perceptor,5320,8422762,0.17105263157894737,0.18129623038143544,1.841716165413534,2.356390977443609,0.7650375939849624,1.841716165413534,1.0761278195488722,2090.5,2.240686504149686
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,2 perceptores,6365,10134451,0.11029065200314218,0.1213528981490956,2.6324791830322076,3.316417910447761,1.001413982717989,1.3162395915161038,0.7200314218381776,1900,2.4929179115434166
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,3 o mas perceptores,3134,5062438,0.08136566687938736,0.0842910076133278,4.075548819400128,4.985960433950224,1.1847479259731972,1.2027105365119883,0.4966940924423375,1813.3333333333333,2.4560949060506774
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,Sin perceptores,40,84149,1,1,1.66625,2,0.45,NA,NA,NA,0
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,1 perceptor,2330,4410187,0.0905579399141631,0.07883203138551721,1.2028669527896996,1.5291845493562233,0.3034334763948498,1.2028669527896996,0.6755364806866953,25000,3.183172001568141
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,2 perceptores,2112,4616777,0.07386363636363637,0.05992232243402703,2.2165861742424244,2.789772727272727,0.6122159090909091,1.1082930871212122,0.579782196969697,24000,2.76761262066833
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,3 o mas perceptores,398,979605,0.10804020100502512,0.09395827910229122,3.482311557788945,4.21356783919598,0.7261306532663316,1.0559685929648241,0.3574120603015075,19947.5,2.28845826597911
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,Sin perceptores,183,300829,1,1,1.670983606557377,2.0054644808743167,0.4371584699453552,NA,NA,NA,0
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,1 perceptor,5808,10730956,0.33987603305785125,0.3412011008152489,1.7735244490358126,2.259814049586777,0.7482782369146006,1.7735244490358126,1.0476928374655647,17000,1.4676114301100442
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,2 perceptores,6117,13902262,0.25486349517737455,0.24507292410400552,2.5937796305378455,3.268268759195684,0.9934608468203368,1.2968898152689228,0.7321399378780448,15150,1.613590369728581
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,3 o mas perceptores,1825,5426170,0.25753424657534246,0.24200144853552322,3.9742465753424656,4.8772602739726025,1.166027397260274,1.193357255925201,0.5073529028049576,13640,1.4840552556574957
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,Sin perceptores,44,93243,1,1,1.3302272727272728,1.7045454545454546,0.36363636363636365,NA,NA,NA,0
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,1 perceptor,1680,4282356,0.10119047619047619,0.12921391869335477,1.1612380952380952,1.436904761904762,0.22142857142857142,1.1612380952380952,0.5351190476190476,81000,2.878278650094468
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,2 perceptores,1387,4707163,0.07137707281903388,0.07165781172226243,2.1372819033886086,2.668348954578226,0.5313626532083634,1.0686409516943043,0.5580389329488104,78000,2.634014071322216
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,3 o mas perceptores,204,758236,0.1323529411764706,0.1429488971771322,3.299313725490196,3.9215686274509802,0.5098039215686274,1.0248725490196078,0.36519607843137253,60470.83333333333,2.0810267794761996
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,Partidos del GBA,Sin perceptores,114,353308,1,1,1.4606140350877193,1.763157894736842,0.2807017543859649,NA,NA,NA,0
