sexo,edad_desde,edad_hasta,adulto_equiv
Varon,0,0,0.35
Varon,1,1,0.37
Varon,2,2,0.46
Varon,3,3,0.51
Varon,4,4,0.55
Varon,5,5,0.6
Varon,6,6,0.64
Varon,7,7,0.66
Varon,8,8,0.68
Varon,9,9,0.69
Varon,10,10,0.79
Varon,11,11,0.82
Varon,12,12,0.85
Varon,13,13,0.9
Varon,14,14,0.96
Varon,15,15,1
Varon,16,16,1.03
Varon,17,17,1.04
Varon,18,29,1.02
Varon,30,45,1
Varon,46,60,1
Varon,61,75,0.83
Varon,76,120,0.74
Mujer,0,0,0.35
Mujer,1,1,0.37
Mujer,2,2,0.46
Mujer,3,3,0.51
Mujer,4,4,0.55
Mujer,5,5,0.6
Mujer,6,6,0.64
Mujer,7,7,0.66
Mujer,8,8,0.68
Mujer,9,9,0.69
Mujer,10,10,0.7
Mujer,11,11,0.72
Mujer,12,12,0.74
Mujer,13,13,0.76
Mujer,14,14,0.76
Mujer,15,15,0.77
Mujer,16,16,0.77
Mujer,17,17,0.77
Mujer,18,29,0.76
Mujer,30,45,0.77
Mujer,46,60,0.76
Mujer,61,75,0.67
Mujer,76,120,0.63
